"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","L83821_L83821-1","5/20/2024 13:15","","",0.5,"","Water","Normal","","","L83821","KCEL","L83821-1","","L83821"
"2","L83821_L83821-1","5/20/2024 13:15","","",0.5,"","Water","Normal","","","L83821","KCEL","L83821-1","","L83821"
"3","L83821_L83821-1","5/20/2024 13:15","","",0.5,"","Water","Normal","","","L83821","KCEL","L83821-1","","L83821"
"4","L83821_L83821-1","5/20/2024 13:15","","",0.5,"","Water","Normal","","","L83821","KCEL","L83821-1","","L83821"
"5","L83821_L83821-2","5/20/2024 13:20","","",4.3,"","Water","Normal","","","L83821","KCEL","L83821-2","","L83821"
"6","L83821_L83821-2","5/20/2024 13:20","","",4.3,"","Water","Normal","","","L83821","KCEL","L83821-2","","L83821"
