"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-03693_12861","2/28/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12861",NA,"24-03693"
"2","24-03693_12861","2/28/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12861",NA,"24-03693"
"3","24-03693_12861","2/28/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12861",NA,"24-03693"
"4","24-03693_12861","2/28/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12861",NA,"24-03693"
"5","24-03693_12682","2/28/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12682",NA,"24-03693"
"6","24-03693_12682","2/28/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12682",NA,"24-03693"
"7","24-03693_12682","2/28/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12682",NA,"24-03693"
"8","24-03693_12682","2/28/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03693_12682",NA,"24-03693"
"9","24-03693_OC3-2024-6_BLK","3/4/2024","OC3-2024-6_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","OC3-2024-6_BLK",NA,"24-03693"
"10","24-03693_OC3-2024-6_LFB","3/4/2024","OC3-2024-6_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","OC3-2024-6_LFB",NA,"24-03693"
"11","24-03693_OC3-2024-6_DUP","3/4/2024","OC3-2024-6_DUP",NA,NA,NA,"Water","LAB_D","24-03237_11212",NA,NA,"Exact Scientific","OC3-2024-6_DUP",NA,"24-03693"
"12","24-03693_MBMF-240228_BLK","2/28/2024","MBMF-240228_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","MBMF-240228_BLK",NA,"24-03693"
"13","24-03693_MBMF-240228_DUP","2/28/2024","MBMF-240228_DUP",NA,NA,NA,"Water","LAB_D","24-03649_12708",NA,NA,"Exact Scientific","MBMF-240228_DUP",NA,"24-03693"
