"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-05861_20401","4/3/2024","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-05861_20401",NA,"24-05861"
"2","24-05861_20402","4/3/2024","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-05861_20402",NA,"24-05861"
"3","24-05861_IW-2024-147_BLK","4/8/2024 0:00","IW-2024-147_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-147_BLK",NA,"24-05861"
"4","24-05861_IW-2024-147_LFB","4/8/2024 0:00","IW-2024-147_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-147_LFB",NA,"24-05861"
"5","24-05861_IW-2024-147_MS","4/8/2024 0:00","IW-2024-147_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-147_MS",NA,"24-05861"
"6","24-05861_IW-2024-147_Dup","4/8/2024 0:00","IW-2024-147_Dup",NA,NA,NA,"Water","LAB_D","24-05861_20401",NA,NA,"Exact Scientific","IW-2024-147_Dup",NA,"24-05861"
"7","24-05861_IW-2024-167_BLK","4/9/2024 0:00","IW-2024-167_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-167_BLK",NA,"24-05861"
"8","24-05861_IW-2024-167_LFB","4/9/2024 0:00","IW-2024-167_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-167_LFB",NA,"24-05861"
"9","24-05861_IW-2024-167_MS","4/9/2024 0:00","IW-2024-167_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-167_MS",NA,"24-05861"
"10","24-05861_IW-2024-167_Dup","4/9/2024 0:00","IW-2024-167_Dup",NA,NA,NA,"Water","LAB_D","24-05861_20402",NA,NA,"Exact Scientific","IW-2024-167_Dup",NA,"24-05861"
"11","24-05861_IW-2024-168_BLK","4/9/2024 0:00","IW-2024-168_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-168_BLK",NA,"24-05861"
"12","24-05861_IW-2024-168_LFB","4/9/2024 0:00","IW-2024-168_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-168_LFB",NA,"24-05861"
"13","24-05861_IW-2024-168_MS","4/9/2024 0:00","IW-2024-168_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-168_MS",NA,"24-05861"
"14","24-05861_IW-2024-168_Dup","4/9/2024 0:00","IW-2024-168_Dup",NA,NA,NA,"Water","LAB_D","24-06060_20967",NA,NA,"Exact Scientific","IW-2024-168_Dup",NA,"24-05861"
"15","24-05861_WC1-2024-172_BLK","4/5/2024 0:00","WC1-2024-172_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-172_BLK",NA,"24-05861"
"16","24-05861_WC1-2024-172_LFB","4/5/2024 0:00","WC1-2024-172_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-172_LFB",NA,"24-05861"
"17","24-05861_WC1-2024-172_Dup","4/5/2024 0:00","WC1-2024-172_Dup",NA,NA,NA,"Water","LAB_D","24-05836_20275",NA,NA,"Exact Scientific","WC1-2024-172_Dup",NA,"24-05861"
"18","24D0126_24D0126-02","4/3/2024 12:57","AS-IN ",NA,NA,NA,"Water","Normal","                    ",NA,"24D0126","ARL","24D0126-02","FIELD FILTERED","24-05861"
"19","24D0126_24D0126-01","4/3/2024 12:57","AS-IN ",NA,NA,NA,"Water","Normal","                    ",NA,"24D0126","ARL","24D0126-01","OPHOS FIELD FILTERED","24-05861"
"20","24D0126_24D0126-03","4/3/2024 13:05","AS-OUT ",NA,NA,NA,"Water","Normal","                    ",NA,"24D0126","ARL","24D0126-03","OPHOS FIELD FILTERED","24-05861"
"21","24D0126_24D0126-04","4/3/2024 13:05","AS-OUT ",NA,NA,NA,"Water","Normal","                    ",NA,"24D0126","ARL","24D0126-04","FIELD FILTERED","24-05861"
"22","24D0126_BMD0161-MS1","4/3/2024 12:57","AS-IN MS",NA,NA,NA,"Water","MS","24D0126_24D0126-01",NA,"24D0126","ARL","BMD0161-MS1","OPHOS FIELD FILTERED","24-05861"
"23","24D0126_BMD0161-BLK1","4/5/2024 13:42","BMD0161-BLK1",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0161-BLK1","","24-05861"
"24","24D0126_BMD0191-BLK1","4/8/2024 10:54","BMD0191-BLK1",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0191-BLK1","","24-05861"
"25","24D0126_BMD0207-BLK1","4/8/2024 13:01","BMD0207-BLK1",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0207-BLK1","","24-05861"
"26","24D0126_BMD0535-BLK1","4/19/2024 16:20","BMD0535-BLK1",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0535-BLK1","","24-05861"
"27","24D0126_BMD0535-BLK2","4/19/2024 16:20","BMD0535-BLK2",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0535-BLK2","","24-05861"
"28","24D0126_BMD0535-BLK3","4/19/2024 16:20","BMD0535-BLK3",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0535-BLK3","","24-05861"
"29","24D0126_BMD0535-BLK4","4/19/2024 16:20","BMD0535-BLK4",NA,NA,NA,"Water","MB","",NA,"24D0126","ARL","BMD0535-BLK4","","24-05861"
"30","24D0126_BMD0161-BS1","4/5/2024 13:42","BMD0161-BS1",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0161-BS1","","24-05861"
"31","24D0126_BMD0191-BS1","4/8/2024 10:54","BMD0191-BS1",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0191-BS1","","24-05861"
"32","24D0126_BMD0207-BS1","4/8/2024 13:01","BMD0207-BS1",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0207-BS1","","24-05861"
"33","24D0126_BMD0535-BS1","4/19/2024 16:20","BMD0535-BS1",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0535-BS1","","24-05861"
"34","24D0126_BMD0535-BS2","4/19/2024 16:20","BMD0535-BS2",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0535-BS2","","24-05861"
"35","24D0126_BMD0535-BS3","4/19/2024 16:20","BMD0535-BS3",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0535-BS3","","24-05861"
"36","24D0126_BMD0535-BS4","4/19/2024 16:20","BMD0535-BS4",NA,NA,NA,"Water","LCS","",NA,"24D0126","ARL","BMD0535-BS4","","24-05861"
"37","24D0126_BMD0161-DUP1","4/3/2024 12:57","AS-IN LDUP",NA,NA,NA,"Water","LAB_D","24D0126_24D0126-01",NA,"24D0126","ARL","BMD0161-DUP1","OPHOS FIELD FILTERED","24-05861"
