"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-10364_35618","6/15/2024 14:39","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-10364_35618",NA,"24-10364"
"2","24-10364_35619","6/15/2024 14:44","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-10364_35619",NA,"24-10364"
"3","24-10364_IW-2024-261_BLK","6/18/2024 0:00","IW-2024-261_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-261_BLK",NA,"24-10364"
"4","24-10364_IW-2024-261_LFB","6/18/2024 0:00","IW-2024-261_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-261_LFB",NA,"24-10364"
"5","24-10364_IW-2024-261_MS","6/18/2024 0:00","IW-2024-261_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-261_MS",NA,"24-10364"
"6","24-10364_IW-2024-261_Dup","6/18/2024 0:00","IW-2024-261_Dup",NA,NA,NA,"Water","LAB_D","24-10364_35619",NA,NA,"Exact Scientific","IW-2024-261_Dup",NA,"24-10364"
"7","24-10364_IW-2024-262_BLK","6/18/2024 0:00","IW-2024-262_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-262_BLK",NA,"24-10364"
"8","24-10364_IW-2024-262_LFB","6/18/2024 0:00","IW-2024-262_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-262_LFB",NA,"24-10364"
"9","24-10364_IW-2024-262_MS","6/18/2024 0:00","IW-2024-262_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-262_MS",NA,"24-10364"
"10","24-10364_IW-2024-262_Dup","6/18/2024 0:00","IW-2024-262_Dup",NA,NA,NA,"Water","LAB_D","24-10364_35619",NA,NA,"Exact Scientific","IW-2024-262_Dup",NA,"24-10364"
"11","24-10364_WC1-2024-281_BLK","6/19/2024 0:00","WC1-2024-281_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-281_BLK",NA,"24-10364"
"12","24-10364_WC1-2024-281_LFB","6/19/2024 0:00","WC1-2024-281_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-281_LFB",NA,"24-10364"
"13","24-10364_WC1-2024-281_Dup","6/19/2024 0:00","WC1-2024-281_Dup",NA,NA,NA,"Water","LAB_D","24-10364_35618",NA,NA,"Exact Scientific","WC1-2024-281_Dup",NA,"24-10364"
"14","24-10364_WC3-2024-152_BLK","6/15/2024","WC3-2024-152_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC3-2024-152_BLK",NA,"24-10364"
"15","24-10364_WC3_2024-152_LFB","6/15/2024","WC3_2024-152_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC3_2024-152_LFB",NA,"24-10364"
"16","24-10364_WC3_2024_152_MS","6/15/2024","WC3_2024_152_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","WC3_2024_152_MS",NA,"24-10364"
"17","24-10364_WC3_2024_152_Dup","6/15/2024","WC3_2024_152_Dup",NA,NA,NA,"Water","LAB_D","24-10364_35619",NA,NA,"Exact Scientific","WC3_2024_152_Dup",NA,"24-10364"
"18","24F0422_24F0422-02","6/15/2024 14:39","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,"24F0422","ARL","24F0422-02",NA,"24-10364"
"19","24F0422_24F0422-01","6/15/2024 14:39","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,"24F0422","ARL","24F0422-01",NA,"24-10364"
"20","24F0422_24F0422-04","6/15/2024 14:44","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,"24F0422","ARL","24F0422-04",NA,"24-10364"
"21","24F0422_24F0422-03","6/15/2024 14:44","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,"24F0422","ARL","24F0422-03",NA,"24-10364"
"22","24F0422_BMF0612-MS1","6/15/2024 14:39","AS-INMS",NA,NA,NA,"Water","MS","24F0422_24F0422-01",NA,"24F0422","ARL","BMF0612-MS1",NA,"24-10364"
"23","24F0422_BMF0612-BLK1","6/24/2024 14:27","BMF0612-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0422","ARL","BMF0612-BLK1",NA,"24-10364"
"24","24F0422_BMF0612-BLK2","6/24/2024 14:27","BMF0612-BLK2",NA,NA,NA,"Water","MB","",NA,"24F0422","ARL","BMF0612-BLK2",NA,"24-10364"
"25","24F0422_BMF0676-BLK1","6/26/2024 10:13","BMF0676-BLK1",NA,NA,NA,"Water","MB","",NA,"24F0422","ARL","BMF0676-BLK1",NA,"24-10364"
