"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-03764_13089","2/29/2024  13:42:00 PM","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03764_13089",NA,"24-03764"
"2","24-03764_13090","2/29/2024  13:50:00 PM","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-03764_13090",NA,"24-03764"
"3","24-03764_WC3_2024_61_BLK","3/1/2024","WC3_2024_61_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC3_2024_61_BLK",NA,"24-03764"
"4","24-03764_WC3_2024_61_LFB","3/1/2024","WC3_2024_61_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC3_2024_61_LFB",NA,"24-03764"
"5","24-03764_WC3_2024_61_MS","3/1/2024","WC3_2024_61_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","WC3_2024_61_MS",NA,"24-03764"
"6","24-03764_WC3_2024_61_Dup","3/1/2024","WC3_2024_61_Dup",NA,NA,NA,"Water","LAB_D","24-03764_13090",NA,NA,"Exact Scientific","WC3_2024_61_Dup",NA,"24-03764"
"7","24-03764_IW-2024-84_BLK","3/5/2024 0:00","IW-2024-84_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-84_BLK",NA,"24-03764"
"8","24-03764_IW-2024-84_LFB","3/5/2024 0:00","IW-2024-84_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-84_LFB",NA,"24-03764"
"9","24-03764_IW-2024-84_MS","3/5/2024 0:00","IW-2024-84_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-84_MS",NA,"24-03764"
"10","24-03764_IW-2024-84_Dup","3/5/2024 0:00","IW-2024-84_Dup",NA,NA,NA,"Water","LAB_D","24-03764_13090",NA,NA,"Exact Scientific","IW-2024-84_Dup",NA,"24-03764"
"11","24-03764_IW-2024-129_BLK","3/6/2024 0:00","IW-2024-129_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-129_BLK",NA,"24-03764"
"12","24-03764_IW-2024-129_LFB","3/6/2024 0:00","IW-2024-129_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-129_LFB",NA,"24-03764"
"13","24-03764_IW-2024-129_MS","3/6/2024 0:00","IW-2024-129_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-129_MS",NA,"24-03764"
"14","24-03764_IW-2024-129_Dup","3/6/2024 0:00","IW-2024-129_Dup",NA,NA,NA,"Water","LAB_D","24-03764_13089",NA,NA,"Exact Scientific","IW-2024-129_Dup",NA,"24-03764"
"15","24-03764_WC1-2024-112_BLK","3/6/2024 0:00","WC1-2024-112_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-112_BLK",NA,"24-03764"
"16","24-03764_WC1-2024-112_LFB","3/6/2024 0:00","WC1-2024-112_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-112_LFB",NA,"24-03764"
"17","24-03764_WC1-2024-112_Dup","3/6/2024 0:00","WC1-2024-112_Dup",NA,NA,NA,"Water","LAB_D","24-03764_13089",NA,NA,"Exact Scientific","WC1-2024-112_Dup",NA,"24-03764"
"18","24-03764_WC1-2024-102_BLK","3/1/2024","WC1-2024-102_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-102_BLK",NA,"24-03764"
"19","24-03764_WC1-2024-102_LFB","3/1/2024","WC1-2024-102_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-102_LFB",NA,"24-03764"
"20","24-03764_WC1-2024-102_Dup","3/1/2024","WC1-2024-102_Dup",NA,NA,NA,"Water","LAB_D","24-03752_13040",NA,NA,"Exact Scientific","WC1-2024-102_Dup",NA,"24-03764"
"21","24-03764_WC3_2024_60_BLK","3/1/2024","WC3_2024_60_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC3_2024_60_BLK",NA,"24-03764"
"22","24-03764_WC3_2024_60_LFB","3/1/2024","WC3_2024_60_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC3_2024_60_LFB",NA,"24-03764"
"23","24-03764_WC3_2024_60_MS","3/1/2024","WC3_2024_60_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","WC3_2024_60_MS",NA,"24-03764"
"24","24-03764_WC3_2024_60_Dup","3/1/2024","WC3_2024_60_Dup",NA,NA,NA,"Water","LAB_D","24-03752_13033",NA,NA,"Exact Scientific","WC3_2024_60_Dup",NA,"24-03764"
"25","24C0045_24C0045-02","2/29/2024 13:42","AS-IN",NA,NA,NA,"Water","Normal",NA,NA,"24C0045","ARL","24C0045-02",NA,"24-03764"
"26","24C0045_24C0045-01","2/29/2024 13:42","AS-IN",NA,NA,NA,"Water","Normal",NA,NA,"24C0045","ARL","24C0045-01",NA,"24-03764"
"27","24C0045_24C0045-04","2/29/2024 13:50","AS-OUT",NA,NA,NA,"Water","Normal",NA,NA,"24C0045","ARL","24C0045-04",NA,"24-03764"
"28","24C0045_24C0045-03","2/29/2024 13:50","AS-OUT",NA,NA,NA,"Water","Normal",NA,NA,"24C0045","ARL","24C0045-03",NA,"24-03764"
"29","24C0045_BMC0064-BLK1","3/4/2024 12:49","BMC0064-BLK1",NA,NA,NA,"Water","MB",NA,NA,"24C0045","ARL","BMC0064-BLK1",NA,"24-03764"
"30","24C0045_BMC0064-BLK2","3/4/2024 12:49","BMC0064-BLK2",NA,NA,NA,"Water","MB",NA,NA,"24C0045","ARL","BMC0064-BLK2",NA,"24-03764"
"31","24C0045_BMC0064-BLK3","3/4/2024 12:49","BMC0064-BLK3",NA,NA,NA,"Water","MB",NA,NA,"24C0045","ARL","BMC0064-BLK3",NA,"24-03764"
"32","24C0045_BMC0270-BLK1","3/12/2024 11:50","BMC0270-BLK1",NA,NA,NA,"Water","MB",NA,NA,"24C0045","ARL","BMC0270-BLK1",NA,"24-03764"
"33","24C0045_BMC0403-BLK1","3/15/2024 11:47","BMC0403-BLK1",NA,NA,NA,"Water","MB",NA,NA,"24C0045","ARL","BMC0403-BLK1",NA,"24-03764"
"34","24C0045_BMC0064-BS1","3/4/2024 12:49","BMC0064-BS1",NA,NA,NA,"Water","LCS",NA,NA,"24C0045","ARL","BMC0064-BS1",NA,"24-03764"
"35","24C0045_BMC0064-BS2","3/4/2024 12:49","BMC0064-BS2",NA,NA,NA,"Water","LCS",NA,NA,"24C0045","ARL","BMC0064-BS2",NA,"24-03764"
"36","24C0045_BMC0064-BS3","3/4/2024 12:49","BMC0064-BS3",NA,NA,NA,"Water","LCS",NA,NA,"24C0045","ARL","BMC0064-BS3",NA,"24-03764"
"37","24C0045_BMC0270-BS1","3/12/2024 11:50","BMC0270-BS1",NA,NA,NA,"Water","LCS",NA,NA,"24C0045","ARL","BMC0270-BS1",NA,"24-03764"
"38","24C0045_BMC0403-BS1","3/15/2024 11:47","BMC0403-BS1",NA,NA,NA,"Water","LCS",NA,NA,"24C0045","ARL","BMC0403-BS1",NA,"24-03764"
