"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-08648_29766","5/18/2024 15:12","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08648_29766",NA,"24-08648"
"2","24-08648_29767","5/18/2024 15:12","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08648_29767",NA,"24-08648"
"3","24-08648_IW-2024-228_BLK","5/18/2024 15:21","IW-2024-228_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-228_BLK",NA,"24-08648"
"4","24-08648_IW-2024-228_LFB","5/18/2024 15:21","IW-2024-228_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-228_LFB",NA,"24-08648"
"5","24-08648_IW-2024-228_MS","5/18/2024 15:12","IW-2024-228_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-228_MS",NA,"24-08648"
"6","24-08648_IW-2024-228_Dup","5/18/2024 15:12","IW-2024-228_Dup",NA,NA,NA,"Water","LAB_D","24-08648_29767",NA,NA,"Exact Scientific","IW-2024-228_Dup",NA,"24-08648"
"7","24-08648_IW-2024-233_BLK","5/18/2024 15:12","IW-2024-233_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-233_BLK",NA,"24-08648"
"8","24-08648_IW-2024-233_LFB","5/18/2024 15:12","IW-2024-233_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-233_LFB",NA,"24-08648"
"9","24-08648_IW-2024-233_MS","5/18/2024 15:12","IW-2024-233_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-233_MS",NA,"24-08648"
"10","24-08648_IW-2024-233_Dup","5/18/2024 15:12","IW-2024-233_Dup",NA,NA,NA,"Water","LAB_D","24-08648_29767",NA,NA,"Exact Scientific","IW-2024-233_Dup",NA,"24-08648"
"11","24-08648_WC1-2024-243_BLK","5/18/2024 15:12","WC1-2024-243_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-243_BLK",NA,"24-08648"
"12","24-08648_WC1-2024-243_LFB","5/18/2024 15:12","WC1-2024-243_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-243_LFB",NA,"24-08648"
"13","24-08648_WC1-2024-243_Dup","5/18/2024 15:12","WC1-2024-243_Dup",NA,NA,NA,"Water","LAB_D","24-08779_30265",NA,NA,"Exact Scientific","WC1-2024-243_Dup",NA,"24-08648"
"14","24-08648_WC3_2024_147_BLK","5/18/2024 15:12","WC3_2024_147_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC3_2024_147_BLK",NA,"24-08648"
"15","24-08648_WC3_2024_147_LFB","5/18/2024 15:12","WC3_2024_147_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC3_2024_147_LFB",NA,"24-08648"
"16","24-08648_WC3_2024_147_MS","5/18/2024 15:12","WC3_2024_147_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","WC3_2024_147_MS",NA,"24-08648"
"17","24-08648_WC3_2024_147_Dup","5/18/2024 15:12","WC3_2024_147_Dup",NA,NA,NA,"Water","LAB_D","24-08648_29766",NA,NA,"Exact Scientific","WC3_2024_147_Dup",NA,"24-08648"
"18","24-08648_OC3-2024-11_BLK","5/18/2024 15:12","OC3-2024-11_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","OC3-2024-11_BLK",NA,"24-08648"
"19","24-08648_OC3-2024-11_LFB","5/18/2024 15:12","OC3-2024-11_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","OC3-2024-11_LFB",NA,"24-08648"
"20","24-08648_OC3-2024-11_DUP","5/18/2024 15:12","OC3-2024-11_DUP",NA,NA,NA,"Water","LAB_D","24-07873_27244",NA,NA,"Exact Scientific","OC3-2024-11_DUP",NA,"24-08648"
"21","24-08648_MBMF-240518_BLK","5/18/2024 15:12","MBMF-240518_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","MBMF-240518_BLK",NA,"24-08648"
"22","24E0465_24E0465-02","5/18/2024 15:12","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0465-02",NA,"24E0465"
"23","24E0465_24E0465-01","5/18/2024 15:12","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0465-01",NA,"24E0465"
