"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","24-08836_30435","5/22/2024 9:53","AS-IN",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08836_30435",NA,"24-08836"
"2","24-08836_30436","5/22/2024 9:58","AS-OUT",NA,NA,NA,"Water","Normal","",NA,NA,"Exact Scientific","24-08836_30436",NA,"24-08836"
"3","24-08836_IW-2024-239_BLK","5/29/2024 0:00","IW-2024-239_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-239_BLK",NA,"24-08836"
"4","24-08836_IW-2024-239_LFB","5/29/2024 0:00","IW-2024-239_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-239_LFB",NA,"24-08836"
"5","24-08836_IW-2024-239_MS","5/29/2024 0:00","IW-2024-239_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-239_MS",NA,"24-08836"
"6","24-08836_IW-2024-239_Dup","5/29/2024 0:00","IW-2024-239_Dup",NA,NA,NA,"Water","LAB_D","24-08836_30435",NA,NA,"Exact Scientific","IW-2024-239_Dup",NA,"24-08836"
"7","24-08836_IW-2024-240_BLK","5/29/2024 0:00","IW-2024-240_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","IW-2024-240_BLK",NA,"24-08836"
"8","24-08836_IW-2024-240_LFB","5/29/2024 0:00","IW-2024-240_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","IW-2024-240_LFB",NA,"24-08836"
"9","24-08836_IW-2024-240_MS","5/29/2024 0:00","IW-2024-240_MS",NA,NA,NA,"Water","MS","",NA,NA,"Exact Scientific","IW-2024-240_MS",NA,"24-08836"
"10","24-08836_IW-2024-240_Dup","5/29/2024 0:00","IW-2024-240_Dup",NA,NA,NA,"Water","LAB_D","24-08836_30435",NA,NA,"Exact Scientific","IW-2024-240_Dup",NA,"24-08836"
"11","24-08836_WC1-2024-243_BLK","5/23/2024 0:00","WC1-2024-243_BLK",NA,NA,NA,"Water","MB","",NA,NA,"Exact Scientific","WC1-2024-243_BLK",NA,"24-08836"
"12","24-08836_WC1-2024-243_LFB","5/23/2024 0:00","WC1-2024-243_LFB",NA,NA,NA,"Water","LCS","",NA,NA,"Exact Scientific","WC1-2024-243_LFB",NA,"24-08836"
"13","24-08836_WC1-2024-243_Dup","5/23/2024 0:00","WC1-2024-243_Dup",NA,NA,NA,"Water","LAB_D","24-08779_30265",NA,NA,"Exact Scientific","WC1-2024-243_Dup",NA,"24-08836"
"14","24E0565_24E0565-02","5/22/2024 9:55","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0565-02",NA,"24-08836"
"15","24E0565_24E0565-01","5/22/2024 9:55","AS-IN",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0565-01",NA,"24-08836"
"16","24E0565_24E0565-03","5/22/2024 9:58","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0565-03",NA,"24-08836"
"17","24E0565_24E0565-04","5/22/2024 9:58","AS-OUT",NA,NA,NA,"Water","Normal","                    ",NA,Inf,"ARL","24E0565-04",NA,"24-08836"
"18","24E0565_BME0640-MS1","5/22/2024 9:55","AS-INMS",NA,NA,NA,"Water","MS","24E0565_24E0565-01",NA,Inf,"ARL","BME0640-MS1",NA,"24-08836"
"19","24E0565_BME0698-MS1","5/22/2024 9:55","AS-INMS",NA,NA,NA,"Water","MS","24E0565_24E0565-01",NA,Inf,"ARL","BME0698-MS1",NA,"24-08836"
"20","24E0565_BMF0025-MS1","5/22/2024 9:55","AS-INMS",NA,NA,NA,"Water","MS","24E0565_24E0565-02",NA,Inf,"ARL","BMF0025-MS1",NA,"24-08836"
"21","24E0565_BME0640-BLK1","5/24/2024 15:14","BME0640-BLK1",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BME0640-BLK1",NA,"24-08836"
"22","24E0565_BME0698-BLK1","5/28/2024 16:48","BME0698-BLK1",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BME0698-BLK1",NA,"24-08836"
"23","24E0565_BME0698-BLK2","5/28/2024 16:48","BME0698-BLK2",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BME0698-BLK2",NA,"24-08836"
"24","24E0565_BME0698-BLK3","5/28/2024 16:48","BME0698-BLK3",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BME0698-BLK3",NA,"24-08836"
"25","24E0565_BME0698-BLK4","5/28/2024 16:48","BME0698-BLK4",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BME0698-BLK4",NA,"24-08836"
"26","24E0565_BMF0017-BLK1","6/2/2024 4:55","BMF0017-BLK1",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BMF0017-BLK1",NA,"24-08836"
"27","24E0565_BMF0025-BLK1","6/2/2024 8:32","BMF0025-BLK1",NA,NA,NA,"Water","MB","",NA,Inf,"ARL","BMF0025-BLK1",NA,"24-08836"
"28","24E0565_BME0640-BS1","5/24/2024 15:14","BME0640-BS1",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BME0640-BS1",NA,"24-08836"
"29","24E0565_BME0698-BS1","5/28/2024 16:48","BME0698-BS1",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BME0698-BS1",NA,"24-08836"
"30","24E0565_BME0698-BS2","5/28/2024 16:48","BME0698-BS2",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BME0698-BS2",NA,"24-08836"
"31","24E0565_BME0698-BS3","5/28/2024 16:48","BME0698-BS3",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BME0698-BS3",NA,"24-08836"
"32","24E0565_BME0698-BS4","5/28/2024 16:48","BME0698-BS4",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BME0698-BS4",NA,"24-08836"
"33","24E0565_BMF0017-BS1","6/2/2024 4:55","BMF0017-BS1",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BMF0017-BS1",NA,"24-08836"
"34","24E0565_BMF0025-BS1","6/2/2024 8:32","BMF0025-BS1",NA,NA,NA,"Water","LCS","",NA,Inf,"ARL","BMF0025-BS1",NA,"24-08836"
"35","24E0565_BMF0025-DUP1","5/22/2024 9:55","AS-INLDUP",NA,NA,NA,"Water","LAB_D","24E0565_24E0565-02",NA,Inf,"ARL","BMF0025-DUP1",NA,"24-08836"
"36","24E0565_BME0698-DUP1","5/22/2024 9:55","AS-INLDUP",NA,NA,NA,"Water","LAB_D","24E0565_24E0565-01",NA,Inf,"ARL","BME0698-DUP1",NA,"24-08836"
"37","24E0565_BME0640-DUP1","5/22/2024 9:55","AS-INLDUP",NA,NA,NA,"Water","LAB_D","24E0565_24E0565-01",NA,Inf,"ARL","BME0640-DUP1",NA,"24-08836"
