"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"1","L83822_L83822-1","6/17/2024 13:35","","",0.5,"","Water","Normal","","","L83822","KCEL","L83822-1","","L83822"
"2","L83822_L83822-1","6/17/2024 13:35","","",0.5,"","Water","Normal","","","L83822","KCEL","L83822-1","","L83822"
"3","L83822_L83822-1","6/17/2024 13:35","","",0.5,"","Water","Normal","","","L83822","KCEL","L83822-1","","L83822"
"4","L83822_L83822-1","6/17/2024 13:35","","",0.5,"","Water","Normal","","","L83822","KCEL","L83822-1","","L83822"
"5","L83822_L83822-2","6/17/2024 13:40","","",3.5,"","Water","Normal","","","L83822","KCEL","L83822-2","","L83822"
"6","L83822_L83822-2","6/17/2024 13:40","","",3.5,"","Water","Normal","","","L83822","KCEL","L83822-2","","L83822"
