SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24E0565_24E0565-01,7440-66-6,Zinc,,25.3,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/2/2024 4:55,6/6/2024 18:35,XDTm1240606A075,BMF0017,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0017,,,,1,,,
24E0565_24E0565-01,7723-14-0,Phosphorus,,0.107,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:15,PO4T053024SRB2004,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,,,1,,,
24E0565_24E0565-01,OrthoPhosphorus,Ortho Phosphorus,,0.005,mg/L,T,leached_REG,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:08,PO4SRP052424SRB2006,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,,,,1,,,
24E0565_24E0565-02,7440-66-6,Zinc,,11.4,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:39,XDTm1240606A078,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,,,,1,,,
24E0565_24E0565-03,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/2/2024 4:55,6/6/2024 18:36,XDTm1240606A076,BMF0017,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0017,U,,,1,,,
24E0565_24E0565-03,7723-14-0,Phosphorus,,0.016,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:18,PO4T053024SRB2007,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,,,1,,,
24E0565_24E0565-03,OrthoPhosphorus,Ortho Phosphorus,,0.005,mg/L,T,leached_REG,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:10,PO4SRP052424SRB2009,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,,,,1,,,
24E0565_24E0565-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:38,XDTm1240606A077,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,U,,,1,,,
24E0565_BME0640-BLK1,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:06,PO4SRP052424SRB2003,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,U,,,1,,,
24E0565_BME0640-BS1,OrthoPhosphorus,Ortho Phosphorus,,104,%,T,SC,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:07,PO4SRP052424SRB2005,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,,110,90,1,0.15,0.156,mg/L
24E0565_BME0640-DUP1,OrthoPhosphorus,Ortho Phosphorus,,0.005,mg/L,T,REG,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:09,PO4SRP052424SRB2007,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,,,,1,,,
24E0565_BME0640-MS1,OrthoPhosphorus,Ortho Phosphorus,,96.5,%,T,SC,Total,SM 4500-P E-11,5/24/2024 15:14,5/24/2024 16:09,PO4SRP052424SRB2008,BME0640,SME0377,0.004,0.004,0.004,,mg/L,Lab Batch BME0640,,125,75,1,0.1005,0.102,mg/L
24E0565_BME0698-BLK1,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:13,PO4T053024SRB2001,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,U,,,1,,,
24E0565_BME0698-BLK2,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:23,PO4T053024SRB2013,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,U,,,1,,,
24E0565_BME0698-BLK3,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:33,PO4T053024SRB2025,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,U,,,1,,,
24E0565_BME0698-BLK4,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:39,PO4T053024SRB2030,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,U,,,1,,,
24E0565_BME0698-BS1,7723-14-0,Phosphorus,,102,%,T,SC,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:13,PO4T053024SRB2002,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,110,90,1,0.15,0.153,mg/L
24E0565_BME0698-BS2,7723-14-0,Phosphorus,,101,%,T,SC,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:24,PO4T053024SRB2014,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,110,90,1,0.15,0.152,mg/L
24E0565_BME0698-BS3,7723-14-0,Phosphorus,,102,%,T,SC,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:34,PO4T053024SRB2026,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,110,90,1,0.15,0.153,mg/L
24E0565_BME0698-BS4,7723-14-0,Phosphorus,,104,%,T,SC,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:40,PO4T053024SRB2031,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,110,90,1,0.15,0.156,mg/L
24E0565_BME0698-DUP1,7723-14-0,Phosphorus,,0.099,mg/L,T,REG,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:15,PO4T053024SRB2005,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,,,1,,,
24E0565_BME0698-MS1,7723-14-0,Phosphorus,,79.6,%,T,SC,Total,SM 4500-P E-11,5/28/2024 16:48,5/30/2024 15:17,PO4T053024SRB2006,BME0698,SME0451,0.008,0.008,0.008,,mg/L,Lab Batch BME0698,,125,75,1,0.1005,0.187,mg/L
24E0565_BMF0017-BLK1,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/2/2024 4:55,6/4/2024 14:09,XDTm1240604034,BMF0017,SMF0030,2.92,6,2.92,,ug/L,Lab Batch BMF0017,U,,,1,,,
24E0565_BMF0017-BS1,7440-66-6,Zinc,,103,%,T,SC,Total,EPA 200.8 UCT-KED,6/2/2024 4:55,6/4/2024 14:18,XDTm1240604036,BMF0017,SMF0030,2.92,6,2.92,,ug/L,Lab Batch BMF0017,,120,80,1,80,82.6,ug/L
24E0565_BMF0025-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:12,XDTm1240606A061,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,U,,,1,,,
24E0565_BMF0025-BS1,7440-66-6,Zinc,,116,%,F,SC,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:13,XDTm1240606A062,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,,120,80,1,80,93.1,ug/L
24E0565_BMF0025-DUP1,7440-66-6,Zinc,,11.1,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:41,XDTm1240606A079,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,,,,1,,,
24E0565_BMF0025-MS1,7440-66-6,Zinc,,108,%,F,SC,Dissolved,EPA 200.8 UCT-KED,6/2/2024 8:32,6/6/2024 18:42,XDTm1240606A080,BMF0025,SMF0075,2.92,6,2.92,,ug/L,Lab Batch BMF0025,,125,75,1,80,97.9,ug/L
