SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24F0069_24F0069-02,6/3/2024 11:33,24-09453 32665 AS-IN,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-02,FIELD FILTERED,24F0069
24F0069_24F0069-01,6/3/2024 11:33,24-09453 32665 AS-IN,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-01,OPHOS is field filtered ,24F0069
24F0069_24F0069-03,6/3/2024 11:40,24-09453 32666 AS-OUT,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-03,OPHOS is field filtered ,24F0069
24F0069_24F0069-04,6/3/2024 11:40,24-09453 32666 AS-OUT,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-04,FIELD FILTERED,24F0069
24F0069_24F0069-05,6/3/2024 11:33,24-09453 32667 AS-IN-QA,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-05,OPHOS is field filtered ,24F0069
24F0069_24F0069-06,6/3/2024 11:33,24-09453 32667 AS-IN-QA,,,,Water,Normal,                    ,,24F0069,ARL,24F0069-06,"Client confirmed bottle is HNO3 preserved, FIELD FILTERED",24F0069
24F0069_BMF0124-MS1,6/3/2024 11:33,24-09453 32665 AS-INMS,,,,Water,MS,24F0069_24F0069-01,,24F0069,ARL,BMF0124-MS1,OPHOS is field filtered ,24F0069
24F0069_BMF0124-BLK1,6/5/2024 11:58,BMF0124-BLK1,,,,Water,MB,,,24F0069,ARL,BMF0124-BLK1,,24F0069
24F0069_BMF0214-BLK1,6/10/2024 11:36,BMF0214-BLK1,,,,Water,MB,,,24F0069,ARL,BMF0214-BLK1,,24F0069
24F0069_BMF0214-BLK2,6/10/2024 11:36,BMF0214-BLK2,,,,Water,MB,,,24F0069,ARL,BMF0214-BLK2,,24F0069
24F0069_BMF0214-BLK3,6/10/2024 11:36,BMF0214-BLK3,,,,Water,MB,,,24F0069,ARL,BMF0214-BLK3,,24F0069
24F0069_BMF0409-BLK1,6/15/2024 13:37,BMF0409-BLK1,,,,Water,MB,,,24F0069,ARL,BMF0409-BLK1,,24F0069
24F0069_BMF0418-BLK1,6/15/2024 14:23,BMF0418-BLK1,,,,Water,MB,,,24F0069,ARL,BMF0418-BLK1,,24F0069
24F0069_BMF0124-BS1,6/5/2024 11:58,BMF0124-BS1,,,,Water,LCS,,,24F0069,ARL,BMF0124-BS1,,24F0069
24F0069_BMF0214-BS1,6/10/2024 11:36,BMF0214-BS1,,,,Water,LCS,,,24F0069,ARL,BMF0214-BS1,,24F0069
24F0069_BMF0214-BS2,6/10/2024 11:36,BMF0214-BS2,,,,Water,LCS,,,24F0069,ARL,BMF0214-BS2,,24F0069
24F0069_BMF0214-BS3,6/10/2024 11:36,BMF0214-BS3,,,,Water,LCS,,,24F0069,ARL,BMF0214-BS3,,24F0069
24F0069_BMF0409-BS1,6/15/2024 13:37,BMF0409-BS1,,,,Water,LCS,,,24F0069,ARL,BMF0409-BS1,,24F0069
24F0069_BMF0418-BS1,6/15/2024 14:23,BMF0418-BS1,,,,Water,LCS,,,24F0069,ARL,BMF0418-BS1,,24F0069
24F0069_BMF0124-DUP1,6/3/2024 11:33,24-09453 32665 AS-INLDUP,,,,Water,LAB_D,24F0069_24F0069-01,,24F0069,ARL,BMF0124-DUP1,OPHOS is field filtered ,24F0069
