SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24F0069_24F0069-01,7440-66-6,Zinc,,21.4,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 13:37,6/19/2024 17:19,XDTm1240619092,BMF0409,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0409,,,,1,,,
24F0069_24F0069-01,7723-14-0,Phosphorus,,0.09,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:43,061224PO4TSRB2012,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,,,1,,,
24F0069_24F0069-01,OrthoPhosphorus,Ortho Phosphorus,,0.007,mg/L,T,REG,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:44,060524PO4SRPCB2005,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,H,,,1,,,
24F0069_24F0069-02,7440-66-6,Zinc,,5.98,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:23,6/25/2024 21:27,XDTm2240625A064,BMF0418,SMF0334,2.92,6,2.92,,ug/L,Lab Batch BMF0418,J,,,1,,,
24F0069_24F0069-03,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 13:37,6/19/2024 17:24,XDTm1240619093,BMF0409,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0409,U,,,1,,,
24F0069_24F0069-03,7723-14-0,Phosphorus,,0.012,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:45,061224PO4TSRB2015,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,,,1,,,
24F0069_24F0069-03,OrthoPhosphorus,Ortho Phosphorus,,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:54,060524PO4SRPCB2008,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,H,,,1,,,
24F0069_24F0069-04,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:23,6/25/2024 21:31,XDTm2240625A065,BMF0418,SMF0334,2.92,6,2.92,,ug/L,Lab Batch BMF0418,U,,,1,,,
24F0069_24F0069-05,7440-66-6,Zinc,,22,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 13:37,6/19/2024 17:29,XDTm1240619094,BMF0409,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0409,,,,1,,,
24F0069_24F0069-05,7723-14-0,Phosphorus,,0.082,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:47,061224PO4TSRB2016,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,,,1,,,
24F0069_24F0069-05,OrthoPhosphorus,Ortho Phosphorus,,0.006,mg/L,T,REG,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:55,060524PO4SRPCB2009,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,H,,,1,,,
24F0069_24F0069-06,7440-66-6,Zinc,,5.91,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:23,6/25/2024 21:36,XDTm2240625A066,BMF0418,SMF0334,2.92,6,2.92,,ug/L,Lab Batch BMF0418,J,,,1,,,
24F0069_BMF0124-BLK1,OrthoPhosphorus,Ortho Phosphorus,<,0.004,mg/L,T,REG,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:43,060524PO4SRPCB2003,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,U,,,1,,,
24F0069_BMF0124-BS1,OrthoPhosphorus,Ortho Phosphorus,,107,%,T,SC,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:43,060524PO4SRPCB2004,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,,110,90,1,0.15,0.16,mg/L
24F0069_BMF0124-DUP1,OrthoPhosphorus,Ortho Phosphorus,,0.007,mg/L,T,REG,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:45,060524PO4SRPCB2006,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,,,,1,,,
24F0069_BMF0124-MS1,OrthoPhosphorus,Ortho Phosphorus,,96.5,%,T,SC,Total,SM 4500-P E-11,6/5/2024 11:58,6/5/2024 12:52,060524PO4SRPCB2007,BMF0124,SMF0074,0.004,0.004,0.004,,mg/L,Lab Batch BMF0124,,125,75,1,0.1005,0.104,mg/L
24F0069_BMF0214-BLK1,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:35,061224PO4TSRB2001,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,U,,,1,,,
24F0069_BMF0214-BLK2,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:44,061224PO4TSRB2013,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,U,,,1,,,
24F0069_BMF0214-BLK3,7723-14-0,Phosphorus,<,0.008,mg/L,T,REG,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:52,061224PO4TSRB2023,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,U,,,1,,,
24F0069_BMF0214-BS1,7723-14-0,Phosphorus,,110,%,T,SC,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:35,061224PO4TSRB2002,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,110,90,1,0.15,0.165,mg/L
24F0069_BMF0214-BS2,7723-14-0,Phosphorus,,109,%,T,SC,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:44,061224PO4TSRB2014,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,110,90,1,0.15,0.164,mg/L
24F0069_BMF0214-BS3,7723-14-0,Phosphorus,,109,%,T,SC,Total,SM 4500-P E-11,6/10/2024 11:36,6/12/2024 13:53,061224PO4TSRB2024,BMF0214,SMF0132,0.008,0.008,0.008,,mg/L,Lab Batch BMF0214,,110,90,1,0.15,0.164,mg/L
24F0069_BMF0409-BLK1,7440-66-6,Zinc,<,2.92,ug/L,T,REG,Total,EPA 200.8 UCT-KED,6/15/2024 13:37,6/19/2024 11:40,XDTm1240619028,BMF0409,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0409,U,,,1,,,
24F0069_BMF0409-BS1,7440-66-6,Zinc,,103,%,T,SC,Total,EPA 200.8 UCT-KED,6/15/2024 13:37,6/19/2024 11:45,XDTm1240619029,BMF0409,SMF0244,2.92,6,2.92,,ug/L,Lab Batch BMF0409,,120,80,1,80,82,ug/L
24F0069_BMF0418-BLK1,7440-66-6,Zinc,<,2.92,ug/L,F,REG,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:23,6/25/2024 16:21,XDTm1240625061,BMF0418,SMF0329,2.92,6,2.92,,ug/L,Lab Batch BMF0418,U,,,1,,,
24F0069_BMF0418-BS1,7440-66-6,Zinc,,104,%,F,SC,Dissolved,EPA 200.8 UCT-KED,6/15/2024 14:23,6/25/2024 16:26,XDTm1240625062,BMF0418,SMF0329,2.92,6,2.92,,ug/L,Lab Batch BMF0418,,120,80,1,80,82.8,ug/L
