SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24D0126_24D0126-02,4/3/2024 12:57,24-05861 20401 AS-IN ,,,,Water,Normal,                    ,,24D0126,ARL,24D0126-02,FIELD FILTERED,24D0126
24D0126_24D0126-01,4/3/2024 12:57,24-05861 20401 AS-IN ,,,,Water,Normal,                    ,,24D0126,ARL,24D0126-01,OPHOS FIELD FILTERED,24D0126
24D0126_24D0126-03,4/3/2024 13:05,24-05861 20402 AS-OUT ,,,,Water,Normal,                    ,,24D0126,ARL,24D0126-03,OPHOS FIELD FILTERED,24D0126
24D0126_24D0126-04,4/3/2024 13:05,24-05861 20402 AS-OUT ,,,,Water,Normal,                    ,,24D0126,ARL,24D0126-04,FIELD FILTERED,24D0126
24D0126_BMD0161-MS1,4/3/2024 12:57,24-05861 20401 AS-IN MS,,,,Water,MS,24D0126_24D0126-01,,24D0126,ARL,BMD0161-MS1,OPHOS FIELD FILTERED,24D0126
24D0126_BMD0161-BLK1,4/5/2024 13:42,BMD0161-BLK1,,,,Water,MB,,,24D0126,ARL,BMD0161-BLK1,,24D0126
24D0126_BMD0191-BLK1,4/8/2024 10:54,BMD0191-BLK1,,,,Water,MB,,,24D0126,ARL,BMD0191-BLK1,,24D0126
24D0126_BMD0207-BLK1,4/8/2024 13:01,BMD0207-BLK1,,,,Water,MB,,,24D0126,ARL,BMD0207-BLK1,,24D0126
24D0126_BMD0535-BLK1,4/19/2024 16:20,BMD0535-BLK1,,,,Water,MB,,,24D0126,ARL,BMD0535-BLK1,,24D0126
24D0126_BMD0535-BLK2,4/19/2024 16:20,BMD0535-BLK2,,,,Water,MB,,,24D0126,ARL,BMD0535-BLK2,,24D0126
24D0126_BMD0535-BLK3,4/19/2024 16:20,BMD0535-BLK3,,,,Water,MB,,,24D0126,ARL,BMD0535-BLK3,,24D0126
24D0126_BMD0535-BLK4,4/19/2024 16:20,BMD0535-BLK4,,,,Water,MB,,,24D0126,ARL,BMD0535-BLK4,,24D0126
24D0126_BMD0161-BS1,4/5/2024 13:42,BMD0161-BS1,,,,Water,LCS,,,24D0126,ARL,BMD0161-BS1,,24D0126
24D0126_BMD0191-BS1,4/8/2024 10:54,BMD0191-BS1,,,,Water,LCS,,,24D0126,ARL,BMD0191-BS1,,24D0126
24D0126_BMD0207-BS1,4/8/2024 13:01,BMD0207-BS1,,,,Water,LCS,,,24D0126,ARL,BMD0207-BS1,,24D0126
24D0126_BMD0535-BS1,4/19/2024 16:20,BMD0535-BS1,,,,Water,LCS,,,24D0126,ARL,BMD0535-BS1,,24D0126
24D0126_BMD0535-BS2,4/19/2024 16:20,BMD0535-BS2,,,,Water,LCS,,,24D0126,ARL,BMD0535-BS2,,24D0126
24D0126_BMD0535-BS3,4/19/2024 16:20,BMD0535-BS3,,,,Water,LCS,,,24D0126,ARL,BMD0535-BS3,,24D0126
24D0126_BMD0535-BS4,4/19/2024 16:20,BMD0535-BS4,,,,Water,LCS,,,24D0126,ARL,BMD0535-BS4,,24D0126
24D0126_BMD0161-DUP1,4/3/2024 12:57,24-05861 20401 AS-IN LDUP,,,,Water,LAB_D,24D0126_24D0126-01,,24D0126,ARL,BMD0161-DUP1,OPHOS FIELD FILTERED,24D0126
