SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24-10364_35618,6/15/2024 14:39,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-10364_35618,,24-10364
24-10364_35618,6/15/2024 14:39,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-10364_35618,,24-10364
24-10364_35618,6/15/2024 14:39,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-10364_35618,,24-10364
24-10364_35618,6/15/2024 14:39,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-10364_35618,,24-10364
24-10364_35619,6/15/2024 14:44,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-10364_35619,,24-10364
24-10364_35619,6/15/2024 14:44,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-10364_35619,,24-10364
24-10364_35619,6/15/2024 14:44,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-10364_35619,,24-10364
24-10364_35619,6/15/2024 14:44,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-10364_35619,,24-10364
24-10364_IW-2024-261_BLK,6/18/2024 0:00,IW-2024-261_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-261_BLK,,24-10364
24-10364_IW-2024-261_LFB,6/18/2024 0:00,IW-2024-261_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-261_LFB,,24-10364
24-10364_IW-2024-261_MS,6/18/2024 0:00,IW-2024-261_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-261_MS,,24-10364
24-10364_IW-2024-261_Dup,6/18/2024 0:00,IW-2024-261_Dup,,,,Water,LAB_D,24-10364_35619,,,Exact Scientific,IW-2024-261_Dup,,24-10364
24-10364_IW-2024-262_BLK,6/18/2024 0:00,IW-2024-262_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-262_BLK,,24-10364
24-10364_IW-2024-262_LFB,6/18/2024 0:00,IW-2024-262_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-262_LFB,,24-10364
24-10364_IW-2024-262_MS,6/18/2024 0:00,IW-2024-262_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-262_MS,,24-10364
24-10364_IW-2024-262_Dup,6/18/2024 0:00,IW-2024-262_Dup,,,,Water,LAB_D,24-10364_35619,,,Exact Scientific,IW-2024-262_Dup,,24-10364
24-10364_WC1-2024-281_BLK,6/19/2024 0:00,WC1-2024-281_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-281_BLK,,24-10364
24-10364_WC1-2024-281_LFB,6/19/2024 0:00,WC1-2024-281_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-281_LFB,,24-10364
24-10364_WC1-2024-281_Dup,6/19/2024 0:00,WC1-2024-281_Dup,,,,Water,LAB_D,24-10364_35618,,,Exact Scientific,WC1-2024-281_Dup,,24-10364
24-10364_WC3-2024-152_BLK,6/15/2024,WC3-2024-152_BLK,,,,Water,MB,,,,Exact Scientific,WC3-2024-152_BLK,,24-10364
24-10364_WC3_2024-152_LFB,6/15/2024,WC3_2024-152_LFB,,,,Water,LCS,,,,Exact Scientific,WC3_2024-152_LFB,,24-10364
24-10364_WC3_2024_152_MS,6/15/2024,WC3_2024_152_MS,,,,Water,MS,,,,Exact Scientific,WC3_2024_152_MS,,24-10364
24-10364_WC3_2024_152_Dup,6/15/2024,WC3_2024_152_Dup,,,,Water,LAB_D,24-10364_35619,,,Exact Scientific,WC3_2024_152_Dup,,24-10364
