"","SampleCode","Sampled_Date_Time","Field_ID","Blank1","Depth","Blank2","Matrix_Type","Sample_Type","Parent_Sample","Blank3","SDG","Lab_Name","Lab_SampleID","Lab_Comments","Lab_Report_Number"
"64","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"65","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"66","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"67","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"68","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"69","L84195_L84196-3","7/10/2024 12:06","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-3","","L84195"
"70","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"71","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"72","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"73","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"74","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"75","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"76","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"77","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"78","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"79","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"80","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"81","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"82","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"83","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"84","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
"85","L84195_L84196-4","7/10/2024 12:46","","",NA,"","Water","Normal","","","L84195","KCEL","L84196-4","","L84195"
